date,forecast
2024-03-01,12589016.094065137
2024-04-01,11140346.336370526
2024-05-01,12714526.506595816
2024-06-01,12283480.980332395
2024-07-01,11505081.348071322
2024-08-01,12031626.116491592
2024-09-01,11618491.906501725
2024-10-01,12110664.602244364
2024-11-01,12084185.07810109
2024-12-01,11479621.810268177
2025-01-01,10974052.092701118
2025-02-01,12157720.638723996
2025-03-01,13359101.43773663
2025-04-01,11909147.09832588
2025-05-01,13483258.14723223
2025-06-01,13052208.901659502
2025-07-01,12273809.069268255
2025-08-01,12800353.826919833
