pythermalcomfort_version,cycle_time,simulation_time,dt,t_skin_mean,t_skin_head,t_skin_neck,t_skin_chest,t_skin_back,t_skin_pelvis,t_skin_left_shoulder,t_skin_left_arm,t_skin_left_hand,t_skin_right_shoulder,t_skin_right_arm,t_skin_right_hand,t_skin_left_thigh,t_skin_left_leg,t_skin_left_foot,t_skin_right_thigh,t_skin_right_leg,t_skin_right_foot,t_core_head,t_core_neck,t_core_chest,t_core_back,t_core_pelvis,t_core_left_shoulder,t_core_left_arm,t_core_left_hand,t_core_right_shoulder,t_core_right_arm,t_core_right_hand,t_core_left_thigh,t_core_left_leg,t_core_left_foot,t_core_right_thigh,t_core_right_leg,t_core_right_foot,w_mean,w_head,w_neck,w_chest,w_back,w_pelvis,w_left_shoulder,w_left_arm,w_left_hand,w_right_shoulder,w_right_arm,w_right_hand,w_left_thigh,w_left_leg,w_left_foot,w_right_thigh,w_right_leg,w_right_foot,weight_loss_by_evap_and_res,cardiac_output,q_thermogenesis_total,q_res,q_skin2env_head,q_skin2env_neck,q_skin2env_chest,q_skin2env_back,q_skin2env_pelvis,q_skin2env_left_shoulder,q_skin2env_left_arm,q_skin2env_left_hand,q_skin2env_right_shoulder,q_skin2env_right_arm,q_skin2env_right_hand,q_skin2env_left_thigh,q_skin2env_left_leg,q_skin2env_left_foot,q_skin2env_right_thigh,q_skin2env_right_leg,q_skin2env_right_foot,dt_skin_head,dt_skin_neck,dt_skin_chest,dt_skin_back,dt_skin_pelvis,dt_skin_left_shoulder,dt_skin_left_arm,dt_skin_left_hand,dt_skin_right_shoulder,dt_skin_right_arm,dt_skin_right_hand,dt_skin_left_thigh,dt_skin_left_leg,dt_skin_left_foot,dt_skin_right_thigh,dt_skin_right_leg,dt_skin_right_foot,dt_core_head,dt_core_neck,dt_core_chest,dt_core_back,dt_core_pelvis,dt_core_left_shoulder,dt_core_left_arm,dt_core_left_hand,dt_core_right_shoulder,dt_core_right_arm,dt_core_right_hand,dt_core_left_thigh,dt_core_left_leg,dt_core_left_foot,dt_core_right_thigh,dt_core_right_leg,dt_core_right_foot,sensation_overall,comfort_overall,sensation_head,sensation_neck,sensation_chest,sensation_back,sensation_pelvis,sensation_left_shoulder,sensation_left_arm,sensation_left_hand,sensation_right_shoulder,sensation_right_arm,sensation_right_hand,sensation_left_thigh,sensation_left_leg,sensation_left_foot,sensation_right_thigh,sensation_right_leg,sensation_right_foot,comfort_head,comfort_neck,comfort_chest,comfort_back,comfort_pelvis,comfort_left_shoulder,comfort_left_arm,comfort_left_hand,comfort_right_shoulder,comfort_right_arm,comfort_right_hand,comfort_left_thigh,comfort_left_leg,comfort_left_foot,comfort_right_thigh,comfort_right_leg,comfort_right_foot
-,-,sec,sec,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g/sec,L/h,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
version of pythermalcomfort,the counts of executing one cycle calculation,simulation times,time step,mean skin temperature,skin temperature (head),skin temperature (neck),skin temperature (chest),skin temperature (back),skin temperature (pelvis),skin temperature (left shoulder),skin temperature (left arm),skin temperature (left hand),skin temperature (right shoulder),skin temperature (right arm),skin temperature (right hand),skin temperature (left thigh),skin temperature (left leg),skin temperature (left foot),skin temperature (right thigh),skin temperature (right leg),skin temperature (right foot),core temperature (head),core temperature (neck),core temperature (chest),core temperature (back),core temperature (pelvis),core temperature (left shoulder),core temperature (left arm),core temperature (left hand),core temperature (right shoulder),core temperature (right arm),core temperature (right hand),core temperature (left thigh),core temperature (left leg),core temperature (left foot),core temperature (right thigh),core temperature (right leg),core temperature (right foot),mean skin wettedness,skin wettedness (head),skin wettedness (neck),skin wettedness (chest),skin wettedness (back),skin wettedness (pelvis),skin wettedness (left shoulder),skin wettedness (left arm),skin wettedness (left hand),skin wettedness (right shoulder),skin wettedness (right arm),skin wettedness (right hand),skin wettedness (left thigh),skin wettedness (left leg),skin wettedness (left foot),skin wettedness (right thigh),skin wettedness (right leg),skin wettedness (right foot),weight loss by the evaporation and respiration of the whole body,cardiac output (the sum of the whole blood flow),total thermogenesis of the whole body,heat loss by respiration,total heat loss from the skin (head),total heat loss from the skin (neck),total heat loss from the skin (chest),total heat loss from the skin (back),total heat loss from the skin (pelvis),total heat loss from the skin (left shoulder),total heat loss from the skin (left arm),total heat loss from the skin (left hand),total heat loss from the skin (right shoulder),total heat loss from the skin (right arm),total heat loss from the skin (right hand),total heat loss from the skin (left thigh),total heat loss from the skin (left leg),total heat loss from the skin (left foot),total heat loss from the skin (right thigh),total heat loss from the skin (right leg),total heat loss from the skin (right foot),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8.4,0,0:00:00,60000,34.50357501606701,34.92681491183473,35.03445668113225,34.679122803378135,34.606038904976856,35.80757547195204,34.30868815917377,33.91646004013479,34.26541623068668,34.308688159174025,33.91646004013508,34.265416230686824,34.23627548899307,34.03075996119407,34.10624296402724,34.236275488993066,34.03075996119395,34.106242964027224,37.0993703675322,36.66146872830456,36.87600220178541,36.93166004420576,37.07133943205812,36.06877319710062,35.54585632264588,34.79255397550288,36.068773197100995,35.545856322646415,34.79255397550304,36.46253476476332,36.100987279099954,34.52921128941896,36.462534764763326,36.10098727909973,34.52921128941894,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.009795199948985974,279.00991926079007,94.34669371680002,6.93365619111405,7.000855279506487,1.8760508484221083,8.053980801100874,7.060391581044575,11.77325644663061,4.734030844240425,2.8400151976059402,2.39143805169963,4.734030844240638,2.8400151976060926,2.3914380516996863,9.096958517880127,4.352699295184682,2.40910765617146,9.096958517880127,4.352699295184571,2.4091076561714546,7.24707734415612e-11,7.344347127495136e-11,1.363992372678998e-10,1.3383251319017595e-10,1.585994339118694e-10,7.897245287343443e-11,6.533733826567337e-11,5.187469665675811e-11,7.897245275501064e-11,6.533733826567337e-11,5.187469641991053e-11,6.990152504234478e-11,8.469363213710798e-11,8.174677338009436e-11,6.990152492392099e-11,8.469363201868418e-11,8.174677326167057e-11,4.735495906516008e-12,4.6930536493997954e-12,4.812249206527971e-12,4.804595477025941e-12,4.975104298902503e-12,4.366644053751164e-12,4.173978851440552e-12,3.333831818016127e-12,4.366643816903585e-12,4.173978733016763e-12,3.333831818016127e-12,4.84588523382475e-12,4.869058164066094e-12,3.285932711113067e-12,4.84588523382475e-12,4.869058045642305e-12,3.285932711113067e-12,0.81,-0.17,-0.24,-0.45,0.57,-0.06,1.27,0.38,-0.41,-0.06,0.38,-0.41,-0.06,0.09,1.47,0.82,0.09,1.47,0.82,2.57,1.24,1.18,1.84,0.75,1.75,2.73,1.66,1.75,2.73,1.66,1.95,-0.61,0.7,1.95,-0.61,0.7
2.8.4,1,0:01:00,60,33.87240073545147,34.69885804743711,34.81043796028354,34.15642164823749,33.1970116337164,35.368620185444165,33.726163607956614,33.845272887609845,34.38882511732683,33.726163607956586,33.845272887609816,34.38882511732679,33.433225214589676,33.14774006798919,33.30104948282816,33.43322521458965,33.14774006798917,33.30104948282809,36.79289844921378,36.381843078944335,36.560742277845435,36.610561666357576,36.78232364040448,35.76953917971885,35.45050483741948,34.964805504898166,35.769539179718755,35.450504837419324,34.96480550489814,35.9548044796253,35.5739666836539,33.833743058528505,35.95480447962532,35.57396668365386,33.83374305852844,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01230852670293801,275.8739872652298,95.58076924164119,7.783095520918043,6.4015207361300765,1.7157139782244262,7.19489375234598,8.412234676531622,12.589589874016864,5.142759072852073,3.3433533392913,3.187183269020845,5.142759072852067,3.3433533392912924,3.187183269020836,9.482072315219868,4.841979491910884,2.8864035716265013,9.482072315219868,4.8419794919109025,2.8864035716264698,-0.00017594229564146246,-0.00015478118984309694,-0.0004062271549309789,-0.000385234122221334,-0.00021712848610597746,-0.000461418641769266,-0.0007115317244564304,-0.000837188916538878,-0.000461418641769266,-0.0007115317244590358,-0.0008371889165408911,-0.00044440087363616007,-0.0009369397587107642,-0.0022067204391833664,-0.00044440087363379157,-0.0009369397587094615,-0.002206720439183485,-8.072904645454552e-06,3.9287484219367265e-06,-1.0543733526683734e-05,-8.766342137060217e-06,-1.4035303996706716e-05,-2.7653575429435286e-05,-5.0808513360915225e-05,-0.00010639293058218868,-2.7653575429435286e-05,-5.0808513360678374e-05,-0.00010639293058195184,-5.067980458880091e-05,-8.26369660079725e-05,-0.0002895000513105354,-5.0679804588682484e-05,-8.263696600773566e-05,-0.00028950005131077224,-0.13,1.81,-0.1,-0.08,0.01,0.0,0.05,-0.07,-0.1,-0.02,-0.07,-0.1,-0.02,-0.07,-0.19,-0.24,-0.07,-0.19,-0.24,2.46,1.89,2.26,2.22,2.2,2.01,1.82,1.99,2.01,1.82,1.99,1.96,2.06,1.81,1.96,2.06,1.81
2.8.4,2,0:02:00,60,33.86742034536968,34.69762703398305,34.8094181017406,34.15268010635821,33.19340191493543,35.36724784541576,33.72190808237756,33.83799412709405,34.37989956543726,33.721908082377496,33.83799412709398,34.37989956543721,33.43013259686638,33.1408258724358,33.28202336087471,33.43013259686638,33.14082587243576,33.28202336087463,36.79258690097191,36.38206914986403,36.56021625970926,36.610138949347146,36.78156334387741,35.76789960048732,35.44743105119528,34.958224648387834,35.767899600487226,35.44743105119515,34.95822464838782,35.95181280491688,35.5690252757636,33.81575377952079,35.95181280491688,35.569025275763565,33.81575377952072,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.012305495781540337,275.85547348204835,95.61691816477281,7.786039110135246,6.399875027821778,1.7153643677658732,7.190072039930776,8.406180465403292,12.586878305767534,5.138644302677809,3.338754037702034,3.1819757226502094,5.138644302677788,3.338754037702021,3.1819757226501877,9.476382315686905,4.835177526309111,2.8755134142560115,9.476382315686848,4.835177526309092,2.8755134142559733,-2.8697077703062253e-05,-2.3109910331579424e-05,-6.775526675800355e-05,-6.555445935229424e-05,-2.6370838592271185e-05,-7.820515331964372e-05,-0.00013712221272825785,-0.0001796904553143482,-7.8205153319999e-05,-0.00013712221272849472,-0.00017969045531470348,-5.463490884073015e-05,-0.0001194593603827343,-0.0003312577222327917,-5.4634908841203846e-05,-0.00011945936038332642,-0.00033125772223302854,-5.192470697797565e-06,3.767848661577015e-06,-8.766968936294953e-06,-7.04528350716771e-06,-1.267160878448692e-05,-2.7326320525489223e-05,-5.12297704033197e-05,-0.00010968094183887445,-2.7326320525489223e-05,-5.1229770402846e-05,-0.0001096809418386376,-4.986124514042937e-05,-8.235679817166404e-05,-0.0002998213167952457,-4.986124514066622e-05,-8.235679817154562e-05,-0.0002998213167953641,-0.03,1.97,-0.02,-0.01,0.01,0.02,0.06,-0.01,-0.03,-0.01,-0.01,-0.03,-0.01,-0.01,-0.03,-0.05,-0.01,-0.03,-0.05,2.31,1.97,2.14,2.12,2.25,2.17,2.1,1.99,2.17,2.1,1.99,1.98,2.04,2.12,1.98,2.04,2.12
2.8.4,3,0:03:00,60,33.862812537206146,34.6966298661816,34.808632815349156,34.1492413876611,33.19009707081497,35.36599227575386,33.71804974108268,33.83157181131367,34.372240396444255,33.71804974108263,33.831571811313644,34.37224039644423,33.42719386968954,33.13418926026232,33.26387453933652,33.42719386968951,33.134189260262296,33.263874539336456,36.792326009470656,36.38220176374568,36.55974327346978,36.60976243695565,36.78086073567273,35.76627541480858,35.44434653190848,34.95182915844796,35.7662754148085,35.444346531908366,34.95182915844793,35.94886894299529,35.56410750518805,33.797910764389066,35.94886894299528,35.56410750518801,33.79791076438899,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.012302697440123158,275.838846136007,95.64860778947032,7.788619580851267,6.398698443048962,1.7151072263866796,7.185634423919898,8.40062440814109,12.584526489127727,5.134912655439831,3.3346852020516295,3.1776648689900515,5.134912655439768,3.33468520205159,3.177664868990027,9.47101434854086,4.828616215096449,2.865089566707226,9.47101434854086,4.828616215096412,2.865089566707184,-2.0516890900997473e-05,-1.6997642382321487e-05,-6.235903132131662e-05,-6.016197968286008e-05,-2.287233380672641e-05,-7.0925426317577e-05,-0.00012131267526325947,-0.00014875919815947233,-7.092542631816911e-05,-0.00012131267526397002,-0.00014875919815959075,-5.154362872161755e-05,-0.00011523659255653721,-0.0003171020325575332,-5.154362872114386e-05,-0.00011523659255677407,-0.0003171020325576516,-4.348191687597591e-06,2.2102313607774702e-06,-7.883103991327782e-06,-6.2752065249564264e-06,-1.171013674460634e-05,-2.7069761312266868e-05,-5.1408654780023726e-05,-0.00010659149899794329,-2.7069761312148442e-05,-5.140865477978688e-05,-0.00010659149899818013,-4.9064365359778134e-05,-8.196284292587564e-05,-0.0002973835855287395,-4.9064365359896556e-05,-8.196284292587564e-05,-0.00029738358552885795,-0.01,1.98,-0.01,-0.01,0.01,0.02,0.06,-0.02,-0.03,-0.01,-0.02,-0.03,-0.01,-0.01,-0.03,-0.06,-0.01,-0.03,-0.06,2.3,1.97,2.12,2.11,2.25,2.17,2.1,1.98,2.17,2.1,1.98,1.98,2.02,2.12,1.98,2.02,2.12
2.8.4,4,0:04:00,60,33.85850490921251,34.6957584926551,34.80799130129643,34.146078741876046,33.18707027645893,35.3648178542892,33.7145349431318,33.82582863391041,34.36541646857132,33.71453494313173,33.82582863391036,34.36541646857132,33.42439068819882,33.12781746182914,33.246446119779044,33.424390688198784,33.12781746182912,33.24644611977896,36.7920612414384,36.38223100911031,36.55929646858208,36.609404291592114,36.780199900508336,35.76466592570051,35.44126177526036,34.945746563965386,35.76466592570045,35.44126177526023,34.945746563965365,35.945970178604234,35.55921567171681,33.78043638187925,35.945970178604234,35.55921567171677,33.78043638187918,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.012300121091429516,275.8239433113849,95.6776899239037,7.790987724904125,6.397745370371264,1.714909229689352,7.181556036222343,8.395537727274945,12.582374801015403,5.131529378763386,3.3310952668420124,3.173965857163702,5.131529378763341,3.3310952668419986,3.17396585716369,9.465913574200625,4.822318515607426,2.855147221279431,9.46591357420058,4.822318515607408,2.8551472212793962,-1.661946335751452e-05,-1.3088106524013672e-05,-5.731197828519423e-05,-5.5080735340951034e-05,-2.0926161031672073e-05,-6.430568824799347e-05,-0.00010703859633961106,-0.00012765281655013894,-6.430568824775663e-05,-0.00010703859633890053,-0.00012765281654978367,-4.897878628066602e-05,-0.00011061020289133694,-0.0003024803589698403,-4.8978786281139716e-05,-0.00011061020289110009,-0.00030248035896960344,-4.41280053766017e-06,4.874227439444212e-07,-7.4467481282406805e-06,-5.9690893922474215e-06,-1.101391940660316e-05,-2.6824818467829914e-05,-5.14126108020226e-05,-0.00010137657470951447,-2.682481846747464e-05,-5.1412610802259454e-05,-0.00010137657470939605,-4.8312739850923474e-05,-8.153055785401857e-05,-0.00029123970849695977,-4.831273985080505e-05,-8.153055785401857e-05,-0.0002912397084968414,-0.02,1.98,-0.01,-0.01,0.01,0.01,0.06,-0.02,-0.03,-0.02,-0.02,-0.03,-0.02,-0.01,-0.04,-0.07,-0.01,-0.04,-0.07,2.3,1.97,2.13,2.12,2.24,2.17,2.09,1.99,2.17,2.09,1.99,1.98,2.03,2.11,1.98,2.03,2.11
2.8.4,5,0:05:00,60,33.85444523123427,34.694963267321334,34.80743391317276,34.14316354580368,33.18429191726478,35.363708678318886,33.7113099565473,33.820612894092136,34.359190029893774,33.711309956547225,33.82061289409208,34.35919002989379,33.421705836977296,33.12168781211536,33.229634490019,33.42170583697727,33.121687812115375,33.22963449001893,36.791772832007034,36.382170678255974,36.55886227267813,36.60905103094616,36.77957097334716,35.763072386738756,35.43818573080188,34.94001151464094,35.763072386738685,35.43818573080176,34.94001151464093,35.94311422661982,35.554350701949616,33.763405564997704,35.94311422661983,35.554350701949595,33.76340556499765,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.012297734584800763,275.8104714864793,95.70514495947194,7.79322337508829,6.396912533563195,1.7147474833931056,7.177805133973462,8.390879105803336,12.58036219155745,5.128447413813692,3.3278850718108397,3.170670386680094,5.128447413813629,3.327885071810811,3.170670386680094,9.461048139857219,4.816272286765901,2.8456003142014934,9.461048139857164,4.816272286765884,2.84560031420145,-1.452289210834105e-05,-1.0691900878730584e-05,-5.271076308422569e-05,-5.0446572600648663e-05,-1.9573691077686325e-05,-5.8579965847963914e-05,-9.571962338768003e-05,-0.00011373213121560848,-5.8579965848319186e-05,-9.571962338803531e-05,-0.00011373213121513477,-4.671969151199088e-05,-0.00010619664055298018,-0.0002904736592912608,-4.6719691512109304e-05,-0.00010619664055298018,-0.0002904736592916161,-4.806823856047989e-06,-1.0055142389830962e-06,-7.2365983992739306e-06,-5.887677432525607e-06,-1.048211935289108e-05,-2.655898269594559e-05,-5.126740764135699e-05,-9.558415540737997e-05,-2.655898269606401e-05,-5.126740764112014e-05,-9.558415540726155e-05,-4.759919974025214e-05,-8.10828294531755e-05,-0.0002838469480257307,-4.759919974013371e-05,-8.108282945293866e-05,-0.00028384694802549386,-0.03,1.98,-0.01,-0.0,0.0,0.01,0.05,-0.02,-0.03,-0.02,-0.02,-0.03,-0.02,-0.01,-0.04,-0.09,-0.01,-0.04,-0.09,2.3,1.97,2.14,2.13,2.24,2.16,2.08,1.99,2.16,2.08,1.99,1.98,2.04,2.1,1.98,2.04,2.1
2.8.4,6,0:06:00,60,33.850595188128196,34.69421947895943,34.8069229645323,34.14046818540017,33.18173321104626,35.36265594246966,33.70832616436712,33.815807829511975,34.35342481127789,33.708326164367065,33.81580782951189,34.35342481127792,33.41912465234721,33.11577679667768,33.21337465817428,33.41912465234718,33.11577679667771,33.21337465817422,36.79145600172204,36.38203882102108,36.558433455321484,36.60869594479809,36.77896752295666,35.761496511918544,35.435125691494015,34.93461870013934,35.76149651191847,35.43512569149391,34.93461870013934,35.9402994313416,35.549513280638976,33.74684043426644,35.94029943134161,35.549513280638955,33.74684043426638,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.012295509051577785,275.7981883737903,95.7314613212711,7.795366303621624,6.396152480744616,1.7146069484088178,7.174347756275079,8.386602938907519,12.578461405739883,5.125619627937474,3.324969787576559,3.1676635922800287,5.125619627937405,3.3249697875765225,3.167663592280035,9.45638815540492,4.810456000495007,2.8363919997310894,9.45638815540487,4.810456000495026,2.836391999731051,-1.325375556279577e-05,-9.28980206123716e-06,-4.8586601206087225e-05,-4.630598656921355e-05,-1.8486266171890974e-05,-5.374977640843307e-05,-8.692899697126203e-05,-0.00010377397795906518,-5.374977640843307e-05,-8.692899697138046e-05,-0.00010377397795882834,-4.474752035873072e-05,-0.00010216082856295827,-0.0002801938293340337,-4.474752035861229e-05,-0.00010216082856236615,-0.0002801938293337969,-5.280504749904935e-06,-2.1976205816306067e-06,-7.146955944037359e-06,-5.918102467816766e-06,-1.0057506508331925e-05,-2.6264580336861816e-05,-5.100065513102455e-05,-8.988024169340748e-05,-2.6264580336861816e-05,-5.100065513090613e-05,-8.988024169317062e-05,-4.691325463698585e-05,-8.062368851066518e-05,-0.00027608551218776255,-4.691325463698585e-05,-8.062368851066518e-05,-0.00027608551218776255,-0.03,1.98,-0.01,-0.0,0.0,0.01,0.05,-0.02,-0.03,-0.02,-0.02,-0.03,-0.02,-0.01,-0.04,-0.1,-0.01,-0.04,-0.1,2.3,1.97,2.15,2.13,2.23,2.16,2.08,1.99,2.16,2.08,1.99,1.98,2.05,2.09,1.98,2.05,2.09
2.8.4,7,0:07:00,60,33.84692571701341,34.69351372238004,34.806435480960566,34.137967274423815,33.179367714958936,35.36165362355696,33.70554204700372,33.81132700159573,34.34803593424748,33.705542047003675,33.811327001595664,34.348035934247484,33.416635039617695,33.11006304594747,33.19762265651624,33.41663503961767,33.11006304594751,33.19762265651617,36.791111921702154,36.381851575978814,36.558005986912434,36.60833567394014,36.77838503751115,35.759939854807705,35.432087391050864,34.92954612200042,35.75993985480764,35.43208739105078,34.92954612200041,35.93752460276459,35.54470415679325,33.730740960459215,35.937524602764604,35.544704156793216,33.73074096045916,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.012293420723305519,275.7869010722912,95.75689451316101,7.797437316059081,6.395441592857287,1.7144781226496397,7.171151141987991,8.382664908250488,12.576657351902679,5.123003378511766,3.3222841263420975,3.1648796363221603,5.123003378511715,3.3222841263420495,3.1648796363221763,9.451908161671163,4.8048473259933,2.8274866043886497,9.451908161671119,4.80484732599333,2.8274866043886115,-1.2396472698365339e-05,-8.515810674344e-06,-4.492267339190429e-05,-4.264510364203981e-05,-1.7545597487137835e-05,-4.9729869669571754e-05,-8.008440966934908e-05,-9.608697693141248e-05,-4.97298696693349e-05,-8.008440966982278e-05,-9.608697693117563e-05,-4.301974383480456e-05,-9.851692396137443e-05,-0.0002709971974120151,-4.301974383480456e-05,-9.851692396113757e-05,-0.0002709971974118967,-5.734666998099177e-06,-3.120750704373639e-06,-7.1244734841731845e-06,-6.0045142992256235e-06,-9.708090758545987e-06,-2.5944285180656834e-05,-5.063834071918905e-05,-8.454296898203021e-05,-2.594428518053841e-05,-5.0638340718833774e-05,-8.454296898214863e-05,-4.624714295016948e-05,-8.015206409541046e-05,-0.000268324563453722,-4.6247142950051054e-05,-8.015206409564732e-05,-0.000268324563453722,-0.04,1.98,-0.0,-0.0,0.0,0.01,0.05,-0.02,-0.04,-0.03,-0.02,-0.04,-0.03,-0.01,-0.05,-0.11,-0.01,-0.05,-0.11,2.31,1.97,2.15,2.14,2.23,2.16,2.07,1.99,2.16,2.07,1.99,1.98,2.06,2.08,1.98,2.06,2.08
