CycleTime,ModTime,dt,TskMean,TskHead,TskNeck,TskChest,TskBack,TskPelvis,TskLshoulder,TskLArm,TskLHand,TskRShoulder,TskRArm,TskRHand,TskLThigh,TskLLeg,TskLFoot,TskRThigh,TskRLeg,TskRFoot,TcrHead,TcrNeck,TcrChest,TcrBack,TcrPelvis,TcrLshoulder,TcrLArm,TcrLHand,TcrRShoulder,TcrRArm,TcrRHand,TcrLThigh,TcrLLeg,TcrLFoot,TcrRThigh,TcrRLeg,TcrRFoot,WetMean,WetHead,WetNeck,WetChest,WetBack,WetPelvis,WetLshoulder,WetLArm,WetLHand,WetRShoulder,WetRArm,WetRHand,WetLThigh,WetLLeg,WetLFoot,WetRThigh,WetRLeg,WetRFoot,Wle,CO,Met,RES,THLskHead,THLskNeck,THLskChest,THLskBack,THLskPelvis,THLskLshoulder,THLskLArm,THLskLHand,THLskRShoulder,THLskRArm,THLskRHand,THLskLThigh,THLskLLeg,THLskLFoot,THLskRThigh,THLskRLeg,THLskRFoot
-,sec,sec,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g/sec,L/h,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
The counts of executing one cycle calculation,Simulation times,Time delta of the model,Mean skin temperature,Skin temperature (Head),Skin temperature (Neck),Skin temperature (Chest),Skin temperature (Back),Skin temperature (Pelvis),Skin temperature (Lshoulder),Skin temperature (LArm),Skin temperature (LHand),Skin temperature (RShoulder),Skin temperature (RArm),Skin temperature (RHand),Skin temperature (LThigh),Skin temperature (LLeg),Skin temperature (LFoot),Skin temperature (RThigh),Skin temperature (RLeg),Skin temperature (RFoot),Core temperature (Head),Core temperature (Neck),Core temperature (Chest),Core temperature (Back),Core temperature (Pelvis),Core temperature (Lshoulder),Core temperature (LArm),Core temperature (LHand),Core temperature (RShoulder),Core temperature (RArm),Core temperature (RHand),Core temperature (LThigh),Core temperature (LLeg),Core temperature (LFoot),Core temperature (RThigh),Core temperature (RLeg),Core temperature (RFoot),Mean skin wettedness,Skin wettedness (Head),Skin wettedness (Neck),Skin wettedness (Chest),Skin wettedness (Back),Skin wettedness (Pelvis),Skin wettedness (Lshoulder),Skin wettedness (LArm),Skin wettedness (LHand),Skin wettedness (RShoulder),Skin wettedness (RArm),Skin wettedness (RHand),Skin wettedness (LThigh),Skin wettedness (LLeg),Skin wettedness (LFoot),Skin wettedness (RThigh),Skin wettedness (RLeg),Skin wettedness (RFoot),Weight loss by the evaporation and respiration of the whole body,Cardiac output (the sum of the whole blood flow),Total heat production of the whole body,Heat loss by respiration,Heat loss from the skin (Head),Heat loss from the skin (Neck),Heat loss from the skin (Chest),Heat loss from the skin (Back),Heat loss from the skin (Pelvis),Heat loss from the skin (Lshoulder),Heat loss from the skin (LArm),Heat loss from the skin (LHand),Heat loss from the skin (RShoulder),Heat loss from the skin (RArm),Heat loss from the skin (RHand),Heat loss from the skin (LThigh),Heat loss from the skin (LLeg),Heat loss from the skin (LFoot),Heat loss from the skin (RThigh),Heat loss from the skin (RLeg),Heat loss from the skin (RFoot)
0,0:00:00,60000,34.51768710507316,34.936070163473794,35.04174271433822,34.69389748088562,34.6212332064476,35.81886021483311,34.32354793192009,33.93178136169126,34.2782188390113,34.323547931919954,33.931781361691044,34.27821883901129,34.25183841571351,34.04634238898626,34.12005224467412,34.25183841571355,34.0463423889865,34.120052244674184,37.10647055508655,36.66956300408299,36.88343503625007,36.93885162712217,37.07808106027088,36.07665761299587,35.55453984555786,34.80333651394649,36.07665761299572,35.55453984555747,34.80333651394645,36.46918961714318,36.10759616206477,34.541186739501505,36.46918961714337,36.10759616206517,34.54118673950157,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.009812080479670242,279.6603712720266,94.34669371680002,6.9239418985033545,6.998373281676086,1.8749162115424354,8.056611410105909,7.063065469679755,11.775374797373075,4.73519133984598,2.8404916700375162,2.3912164738815487,4.735191339845869,2.8404916700374043,2.3912164738815407,9.099166772932223,4.352789530034039,2.4083478455331546,9.0991667729323,4.352789530034244,2.4083478455331866
1,0:01:00,60,34.62428249433827,35.07356912905129,35.21519935226633,34.786911636843094,34.63926333390193,35.863244853008695,34.39713490529669,34.168168638226454,34.620084143167475,34.397134905296554,34.16816863822628,34.62008414316744,34.323912910834785,34.12203026539316,34.34143149611232,34.32391291083485,34.12203026539338,34.34143149611239,37.10066130455498,36.664465052739004,36.8796243372691,36.93475147759672,37.07655014157858,36.07665139629376,35.55971278767,34.94196638323361,36.07665139629362,35.55971278766959,34.94196638323357,36.46627429825848,36.10500180318676,34.64406015099732,36.466274298258675,36.10500180318716,34.64406015099739,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.008024456233002108,282.0585551141335,90.57222217344,6.997107151973667,4.333750007903,1.1585842656023937,5.6103165719093315,6.598502332057583,9.033817129632192,3.6500463246510053,2.1607544465334727,1.9524107415944914,3.6500463246509365,2.160754446533403,1.9524107415944878,7.030090804628501,3.6960367938978003,2.0988372837751377,7.030090804628548,3.6960367938979335,2.0988372837751577
2,0:02:00,60,34.70453433798215,35.1538562002619,35.32919596589035,34.85545048425766,34.64542625594514,35.88211709780279,34.461548605945815,34.35204269373298,34.85247721152054,34.46154860594569,34.35204269373281,34.85247721152048,34.377940344874936,34.19879348020167,34.53841697426287,34.37794034487503,34.19879348020188,34.53841697426295,37.09308793227615,36.65900527982211,36.87465250425813,36.929260328102956,37.07407620774394,36.07784154692752,35.56868299908568,35.09354429754561,36.07784154692737,35.56868299908528,35.09354429754556,36.463756086479314,36.103311216359955,34.775035467919196,36.46375608647952,36.103311216360346,34.77503546791926,0.06814806550752621,0.06848011224998012,0.06846548615313931,0.07566077333359925,0.07014393896240688,0.07346443821441873,0.06744936749725086,0.06606665427416863,0.06404752389186749,0.06744936749725097,0.06606665427416873,0.06404752389186748,0.06555827940967393,0.06547454332677838,0.06485479182821403,0.0655582794096739,0.06547454332677827,0.06485479182821402,0.008862996061274754,282.95595360387364,90.57222217344,6.997107151973667,4.528027541144361,1.2155881969482505,5.94391915988997,6.844834488203389,9.449650836907418,3.7798948558590357,2.2851409782100176,2.0768176155931095,3.779894855858963,2.2851409782099603,2.076817615593101,7.234278448009557,3.8025495693904645,2.199864982078531,7.234278448009622,3.802549569390587,2.1998649820785534
3,0:03:00,60,34.76889774918518,35.209454452349334,35.40455873325836,34.90986937684918,34.64750087119837,35.894927805424416,34.520040516989425,34.49232405254218,35.013747302056615,34.52004051698931,34.49232405254204,35.013747302056565,34.42069832867471,34.27683545013507,34.70675530303936,34.4206983286748,34.276835450135245,34.70675530303946,37.086075909461684,36.65463651578655,36.869562071988895,36.92355669278926,37.071190571125996,36.080157712691644,35.58028735643202,35.23233711401083,36.080157712691495,35.58028735643165,35.23233711401078,36.46160977203191,36.1025155584434,34.91043876250778,36.461609772032105,36.10251555844379,34.91043876250786,0.06860189048193019,0.06895161011935884,0.06893253474974184,0.07653318404804,0.07071866905080171,0.07422553036002927,0.06786420801499062,0.06639187236502263,0.06426261412864545,0.06786420801499073,0.06639187236502272,0.06426261412864546,0.06586868681456326,0.0657779102830364,0.06511453038033807,0.06586868681456326,0.0657779102830363,0.06511453038033804,0.008949348247864908,283.2297735726634,90.57222217344,6.997107151973667,4.581523317722924,1.2349259756701774,6.01312047795426,6.863576535548489,9.491406808427733,3.8192819768948723,2.348670890045569,2.144376895277361,3.8192819768948034,2.3486708900455135,2.1443768952773445,7.297362042974008,3.849256334436531,2.263925331626802,7.297362042974095,3.8492563344366424,2.263925331626826
4,0:04:00,60,34.82455595440808,35.25480947627807,35.45730010378572,34.95673133117681,34.65039984905723,35.90658879348441,34.573883874308095,34.601526431398774,35.13506595141474,34.573883874308,34.601526431398604,35.13506595141469,34.458583039816475,34.355661167385655,34.853936195688775,34.458583039816574,34.35566116738586,34.85393619568888,37.08025243470295,36.65134721926994,36.86472388785558,36.918075541532936,37.06815970359775,36.08349296199364,35.59378555876736,35.35282649048656,36.08349296199348,35.593785558767,35.35282649048651,36.45984542894651,36.10262794791344,35.041392219845235,36.4598454289467,36.10262794791384,35.04139221984533,0.06694669260082489,0.06722940216689743,0.06721237124496716,0.07335192389115917,0.06866268782817486,0.07149555839677957,0.06635018952459963,0.06515461552913247,0.0634372429995122,0.06635018952459969,0.06515461552913257,0.0634372429995122,0.06473994382382768,0.06466384193623376,0.06412313919178106,0.06473994382382765,0.06466384193623366,0.06412313919178102,0.00882155308022047,283.59957986364384,90.57222217344,6.997107151973667,4.590522148829837,1.2402763627624303,6.002806759587738,6.818851231787024,9.430839792458102,3.8316982661341625,2.3853959406261542,2.1843193155749194,3.831698266134104,2.3853959406261067,2.1843193155749043,7.314777094661556,3.879841095763973,2.3106116970758537,7.314777094661655,3.8798410957640725,2.310611697075886
5,0:05:00,60,34.87342284066202,35.29350019546335,35.494561353247676,34.99726992979335,34.65403447728037,35.91723614721438,34.621640203959224,34.68736317204183,35.23029622712301,34.621640203959124,34.6873631720417,35.230296227122956,34.49325424986228,34.43320856827424,34.983788314603025,34.49325424986239,34.43320856827443,34.983788314603125,37.075640782450954,36.648881009993474,36.860274057712495,36.91298881435808,37.06511875243933,36.087684189175704,35.60860822553976,35.4549540624241,36.08768418917555,35.60860822553941,35.45495406242405,36.45846149130472,36.10363429716194,35.16400652681091,36.45846149130491,36.10363429716232,35.164006526810994,0.06548997291929169,0.06571379726414826,0.06569994776670025,0.07055212277473029,0.06685042850764396,0.06908983918917287,0.06501778886111453,0.06406961761530817,0.06271375450092558,0.06501778886111458,0.06406961761530824,0.06271375450092559,0.06374627435053432,0.06368365129609545,0.06325370529487956,0.0637462743505343,0.06368365129609539,0.06325370529487953,0.008707372289699082,283.93523942671675,90.57222217344,6.997107151973667,4.596186082107702,1.2428381705447096,5.992523765180685,6.7803982442342186,9.377748217548973,3.8437360850313285,2.4128702909923048,2.213544912404865,3.843736085031282,2.4128702909922493,2.2135449124048505,7.3302071778306885,3.912314728600463,2.3512981037472205,7.330207177830791,3.912314728600575,2.3512981037472533
6,0:06:00,60,34.91627835918302,35.326831970790195,35.52060514776954,35.0317409438167,34.65756724649229,35.9265693811671,34.66255296100964,34.75534584922763,35.306683776328086,34.66255296100953,34.75534584922752,35.30668377632805,34.5252829386453,34.50765642845382,35.09847010994439,34.525282938645404,34.507656428454005,35.098470109944515,37.072093218800916,36.64700583031347,36.856258616267155,36.9083639562314,37.06214374944417,36.09255250511879,35.62431497310522,35.54047635541262,36.09255250511865,35.62431497310487,35.54047635541258,36.457444940438414,36.105491703594424,35.27658852050216,36.45744494043861,36.105491703594794,35.27658852050225,0.06470511653661211,0.06489730613676453,0.06488563159126266,0.06904370717488462,0.06587418425534146,0.06779393941524497,0.06429983080605721,0.06348535595403577,0.06232417615249318,0.06429983080605722,0.06348535595403583,0.06232417615249319,0.06321084286351668,0.06315500440354468,0.06278503914421439,0.06321084286351666,0.06315500440354464,0.06278503914421436,0.008654835230521012,284.2281886498773,90.57222217344,6.997107151973667,4.607482599753847,1.2455619135934093,5.998872729498396,6.76157766779951,9.353885550461616,3.8600871318517784,2.4365481060146106,2.237740566286205,3.8600871318517305,2.4365481060145697,2.237740566286189,7.353119832340543,3.94939272772912,2.3891574291111066,7.353119832340649,3.949392727729225,2.389157429111139
7,0:07:00,60,34.9531342165671,35.35557586224398,35.53841413907775,35.060394509919064,34.66032331100987,35.93446613540717,34.69672153858674,34.80959721137969,35.36867018187735,34.69672153858666,34.809597211379575,35.3686701818773,34.55465098815306,34.57539040847708,35.1959900594351,34.55465098815322,34.57539040847724,35.1959900594352,37.06949934935293,36.645648416232916,36.85272173264931,36.904260370784215,37.05929845279825,36.097934595646535,35.64057205923226,35.611657091142035,36.09793459564639,35.640572059231935,35.611657091141986,36.45677264815561,36.10810604991176,35.37717396104359,36.456772648155805,36.108106049912124,35.37717396104368,0.06456944125349469,0.06475641755834546,0.06474559915971227,0.06878314261560001,0.06570737300234152,0.06757220992450762,0.06417538018665611,0.06338315782569802,0.06225602401185049,0.06417538018665617,0.06338315782569807,0.0622560240118505,0.063118286337286,0.06306202395638533,0.0627018054623073,0.06311828633728599,0.06306202395638526,0.0627018054623073,0.008662863263462607,284.40490745528064,90.57222217344,6.997107151973667,4.624954470927968,1.2490481110274283,6.021571038770362,6.761031034501261,9.3580301253117,3.8801918511634206,2.458203092638475,2.258934740609299,3.8801918511633633,2.4582030926384375,2.2589347406092877,7.3838392657270155,3.989970012110123,2.4248569871316934,7.383839265727124,3.989970012110229,2.424856987131733
