pythermalcomfort_version,cycle_time,simulation_time,dt,t_skin_mean,t_skin_head,t_skin_neck,t_skin_chest,t_skin_back,t_skin_pelvis,t_skin_left_shoulder,t_skin_left_arm,t_skin_left_hand,t_skin_right_shoulder,t_skin_right_arm,t_skin_right_hand,t_skin_left_thigh,t_skin_left_leg,t_skin_left_foot,t_skin_right_thigh,t_skin_right_leg,t_skin_right_foot,t_core_head,t_core_neck,t_core_chest,t_core_back,t_core_pelvis,t_core_left_shoulder,t_core_left_arm,t_core_left_hand,t_core_right_shoulder,t_core_right_arm,t_core_right_hand,t_core_left_thigh,t_core_left_leg,t_core_left_foot,t_core_right_thigh,t_core_right_leg,t_core_right_foot,w_mean,w_head,w_neck,w_chest,w_back,w_pelvis,w_left_shoulder,w_left_arm,w_left_hand,w_right_shoulder,w_right_arm,w_right_hand,w_left_thigh,w_left_leg,w_left_foot,w_right_thigh,w_right_leg,w_right_foot,weight_loss_by_evap_and_res,cardiac_output,q_thermogenesis_total,q_res,q_skin2env_head,q_skin2env_neck,q_skin2env_chest,q_skin2env_back,q_skin2env_pelvis,q_skin2env_left_shoulder,q_skin2env_left_arm,q_skin2env_left_hand,q_skin2env_right_shoulder,q_skin2env_right_arm,q_skin2env_right_hand,q_skin2env_left_thigh,q_skin2env_left_leg,q_skin2env_left_foot,q_skin2env_right_thigh,q_skin2env_right_leg,q_skin2env_right_foot
-,-,sec,sec,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g/sec,L/h,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
version of pythermalcomfort,the counts of executing one cycle calculation,simulation times,time step,mean skin temperature,skin temperature (head),skin temperature (neck),skin temperature (chest),skin temperature (back),skin temperature (pelvis),skin temperature (left shoulder),skin temperature (left arm),skin temperature (left hand),skin temperature (right shoulder),skin temperature (right arm),skin temperature (right hand),skin temperature (left thigh),skin temperature (left leg),skin temperature (left foot),skin temperature (right thigh),skin temperature (right leg),skin temperature (right foot),core temperature (head),core temperature (neck),core temperature (chest),core temperature (back),core temperature (pelvis),core temperature (left shoulder),core temperature (left arm),core temperature (left hand),core temperature (right shoulder),core temperature (right arm),core temperature (right hand),core temperature (left thigh),core temperature (left leg),core temperature (left foot),core temperature (right thigh),core temperature (right leg),core temperature (right foot),mean skin wettedness,skin wettedness (head),skin wettedness (neck),skin wettedness (chest),skin wettedness (back),skin wettedness (pelvis),skin wettedness (left shoulder),skin wettedness (left arm),skin wettedness (left hand),skin wettedness (right shoulder),skin wettedness (right arm),skin wettedness (right hand),skin wettedness (left thigh),skin wettedness (left leg),skin wettedness (left foot),skin wettedness (right thigh),skin wettedness (right leg),skin wettedness (right foot),weight loss by the evaporation and respiration of the whole body,cardiac output (the sum of the whole blood flow),total thermogenesis of the whole body,heat loss by respiration,total heat loss from the skin (head),total heat loss from the skin (neck),total heat loss from the skin (chest),total heat loss from the skin (back),total heat loss from the skin (pelvis),total heat loss from the skin (left shoulder),total heat loss from the skin (left arm),total heat loss from the skin (left hand),total heat loss from the skin (right shoulder),total heat loss from the skin (right arm),total heat loss from the skin (right hand),total heat loss from the skin (left thigh),total heat loss from the skin (left leg),total heat loss from the skin (left foot),total heat loss from the skin (right thigh),total heat loss from the skin (right leg),total heat loss from the skin (right foot)
2.10.0,0,0:00:00,60000,34.5,34.93,35.03,34.68,34.61,35.81,34.31,33.92,34.27,34.31,33.92,34.27,34.24,34.03,34.11,34.24,34.03,34.11,37.1,36.66,36.88,36.93,37.07,36.07,35.55,34.79,36.07,35.55,34.79,36.46,36.1,34.53,36.46,36.1,34.53,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0098,279.0,94.35,6.93,7.0,1.88,8.05,7.06,11.77,4.73,2.84,2.39,4.73,2.84,2.39,9.1,4.35,2.41,9.1,4.35,2.41
2.10.0,1,0:01:00,60,34.43,34.91,35.01,34.65,34.41,35.76,34.13,33.92,34.43,34.13,33.92,34.43,34.11,33.91,34.18,34.11,33.91,34.18,37.09,36.65,36.87,36.93,37.07,36.06,35.55,34.89,36.06,35.55,34.89,36.46,36.1,34.6,36.46,36.1,34.6,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01286,281.4,90.57,7.59,7.32,1.96,8.7,11.7,14.6,6.29,3.79,3.47,6.29,3.79,3.47,12.16,6.39,3.73,12.16,6.39,3.73
2.10.0,2,0:02:00,60,34.37,34.89,34.99,34.62,34.24,35.73,34.02,33.95,34.55,34.02,33.95,34.55,34.0,33.83,34.24,34.0,33.83,34.24,37.08,36.64,36.86,36.92,37.07,36.06,35.55,34.98,36.06,35.55,34.98,36.45,36.09,34.66,36.45,36.09,34.66,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01281,280.8,90.76,7.6,7.3,1.95,8.66,11.4,14.51,6.14,3.79,3.55,6.14,3.79,3.55,11.93,6.27,3.77,11.93,6.27,3.77
2.10.0,3,0:03:00,60,34.33,34.88,34.97,34.59,34.1,35.71,33.96,33.97,34.62,33.96,33.97,34.62,33.92,33.77,34.28,33.92,33.77,34.28,37.07,36.63,36.85,36.91,37.06,36.05,35.55,35.06,36.05,35.55,35.06,36.44,36.09,34.71,36.44,36.09,34.71,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01277,280.3,90.93,7.62,7.29,1.95,8.63,11.14,14.46,6.04,3.81,3.61,6.04,3.81,3.61,11.75,6.19,3.8,11.75,6.19,3.8
2.10.0,4,0:04:00,60,34.29,34.86,34.95,34.56,33.98,35.69,33.91,34.0,34.66,33.91,34.0,34.66,33.85,33.72,34.3,33.85,33.72,34.3,37.06,36.61,36.84,36.9,37.06,36.04,35.55,35.12,36.04,35.55,35.12,36.44,36.08,34.75,36.44,36.08,34.75,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01274,279.8,91.1,7.63,7.27,1.94,8.59,10.92,14.42,5.98,3.82,3.64,5.98,3.82,3.64,11.6,6.14,3.82,11.6,6.14,3.82
2.10.0,5,0:05:00,60,34.26,34.85,34.94,34.54,33.87,35.67,33.89,34.02,34.7,33.89,34.02,34.7,33.79,33.68,34.31,33.79,33.68,34.31,37.05,36.61,36.84,36.89,37.05,36.03,35.55,35.17,36.03,35.55,35.17,36.43,36.07,34.78,36.43,36.07,34.78,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01272,279.4,91.27,7.65,7.26,1.94,8.56,10.73,14.39,5.95,3.83,3.66,5.95,3.83,3.66,11.48,6.09,3.83,11.48,6.09,3.83
2.10.0,6,0:06:00,60,34.24,34.84,34.92,34.51,33.78,35.65,33.87,34.03,34.72,33.87,34.03,34.72,33.74,33.65,34.32,33.74,33.65,34.32,37.04,36.6,36.83,36.88,37.05,36.03,35.56,35.21,36.03,35.56,35.21,36.42,36.07,34.8,36.42,36.07,34.8,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0127,279.1,91.43,7.66,7.25,1.93,8.53,10.57,14.36,5.92,3.84,3.68,5.92,3.84,3.68,11.38,6.06,3.84,11.38,6.06,3.84
2.10.0,7,0:07:00,60,34.21,34.83,34.91,34.48,33.7,35.64,33.86,34.04,34.73,33.86,34.04,34.73,33.7,33.63,34.32,33.7,33.63,34.32,37.03,36.59,36.82,36.87,37.04,36.02,35.56,35.23,36.02,35.56,35.23,36.41,36.06,34.81,36.41,36.06,34.81,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01268,278.8,91.58,7.67,7.24,1.93,8.49,10.42,14.33,5.91,3.85,3.69,5.91,3.85,3.69,11.3,6.03,3.84,11.3,6.03,3.84
2.10.0,8,0:08:00,60,34.19,34.81,34.9,34.45,33.63,35.63,33.85,34.04,34.74,33.85,34.04,34.74,33.67,33.6,34.31,33.67,33.6,34.31,37.02,36.58,36.81,36.86,37.04,36.01,35.56,35.25,36.01,35.56,35.25,36.4,36.05,34.81,36.4,36.05,34.81,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01267,278.6,91.73,7.69,7.22,1.93,8.46,10.3,14.31,5.9,3.86,3.7,5.9,3.86,3.7,11.23,6.0,3.84,11.23,6.0,3.84
