pythermalcomfort_version,cycle_time,simulation_time,dt,t_skin_mean,t_skin_head,t_skin_neck,t_skin_chest,t_skin_back,t_skin_pelvis,t_skin_left_shoulder,t_skin_left_arm,t_skin_left_hand,t_skin_right_shoulder,t_skin_right_arm,t_skin_right_hand,t_skin_left_thigh,t_skin_left_leg,t_skin_left_foot,t_skin_right_thigh,t_skin_right_leg,t_skin_right_foot,t_core_head,t_core_neck,t_core_chest,t_core_back,t_core_pelvis,t_core_left_shoulder,t_core_left_arm,t_core_left_hand,t_core_right_shoulder,t_core_right_arm,t_core_right_hand,t_core_left_thigh,t_core_left_leg,t_core_left_foot,t_core_right_thigh,t_core_right_leg,t_core_right_foot,w_mean,w_head,w_neck,w_chest,w_back,w_pelvis,w_left_shoulder,w_left_arm,w_left_hand,w_right_shoulder,w_right_arm,w_right_hand,w_left_thigh,w_left_leg,w_left_foot,w_right_thigh,w_right_leg,w_right_foot,weight_loss_by_evap_and_res,cardiac_output,q_thermogenesis_total,q_res,q_skin2env_head,q_skin2env_neck,q_skin2env_chest,q_skin2env_back,q_skin2env_pelvis,q_skin2env_left_shoulder,q_skin2env_left_arm,q_skin2env_left_hand,q_skin2env_right_shoulder,q_skin2env_right_arm,q_skin2env_right_hand,q_skin2env_left_thigh,q_skin2env_left_leg,q_skin2env_left_foot,q_skin2env_right_thigh,q_skin2env_right_leg,q_skin2env_right_foot
-,-,sec,sec,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g/sec,L/h,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
version of pythermalcomfort,the counts of executing one cycle calculation,simulation times,time step,mean skin temperature,skin temperature (head),skin temperature (neck),skin temperature (chest),skin temperature (back),skin temperature (pelvis),skin temperature (left shoulder),skin temperature (left arm),skin temperature (left hand),skin temperature (right shoulder),skin temperature (right arm),skin temperature (right hand),skin temperature (left thigh),skin temperature (left leg),skin temperature (left foot),skin temperature (right thigh),skin temperature (right leg),skin temperature (right foot),core temperature (head),core temperature (neck),core temperature (chest),core temperature (back),core temperature (pelvis),core temperature (left shoulder),core temperature (left arm),core temperature (left hand),core temperature (right shoulder),core temperature (right arm),core temperature (right hand),core temperature (left thigh),core temperature (left leg),core temperature (left foot),core temperature (right thigh),core temperature (right leg),core temperature (right foot),mean skin wettedness,skin wettedness (head),skin wettedness (neck),skin wettedness (chest),skin wettedness (back),skin wettedness (pelvis),skin wettedness (left shoulder),skin wettedness (left arm),skin wettedness (left hand),skin wettedness (right shoulder),skin wettedness (right arm),skin wettedness (right hand),skin wettedness (left thigh),skin wettedness (left leg),skin wettedness (left foot),skin wettedness (right thigh),skin wettedness (right leg),skin wettedness (right foot),weight loss by the evaporation and respiration of the whole body,cardiac output (the sum of the whole blood flow),total thermogenesis of the whole body,heat loss by respiration,total heat loss from the skin (head),total heat loss from the skin (neck),total heat loss from the skin (chest),total heat loss from the skin (back),total heat loss from the skin (pelvis),total heat loss from the skin (left shoulder),total heat loss from the skin (left arm),total heat loss from the skin (left hand),total heat loss from the skin (right shoulder),total heat loss from the skin (right arm),total heat loss from the skin (right hand),total heat loss from the skin (left thigh),total heat loss from the skin (left leg),total heat loss from the skin (left foot),total heat loss from the skin (right thigh),total heat loss from the skin (right leg),total heat loss from the skin (right foot)
2.10.0,0,0:00:00,60000,34.63,35.01,35.11,34.79,34.72,35.81,34.45,34.09,34.4,34.45,34.09,34.4,34.38,34.19,34.26,34.38,34.19,34.26,36.98,36.59,36.78,36.83,36.96,36.04,35.56,34.88,36.04,35.56,34.88,36.39,36.04,34.64,36.39,36.04,34.64,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.00937,277.4,85.0,6.03,6.35,1.7,7.29,6.39,10.66,4.29,2.57,2.16,4.29,2.57,2.16,8.21,3.9,2.16,8.21,3.9,2.16
2.10.0,1,0:01:00,60,34.62,35.05,35.16,34.8,34.63,35.8,34.38,34.17,34.62,34.38,34.17,34.62,34.32,34.14,34.38,34.32,34.14,34.38,36.98,36.58,36.78,36.83,36.95,36.04,35.56,34.98,36.04,35.56,34.98,36.38,36.04,34.72,36.38,36.04,34.72,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01015,280.2,81.6,6.84,5.55,1.48,7.08,8.55,11.31,4.71,2.88,2.54,4.71,2.88,2.54,9.41,4.94,2.76,9.41,4.94,2.76
2.10.0,2,0:02:00,60,34.62,35.07,35.19,34.8,34.55,35.79,34.34,34.25,34.78,34.34,34.25,34.78,34.28,34.11,34.49,34.28,34.11,34.49,36.97,36.57,36.77,36.82,36.95,36.03,35.56,35.09,36.03,35.56,35.09,36.38,36.03,34.8,36.38,36.03,34.8,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01015,280.2,81.67,6.84,5.58,1.49,7.09,8.44,11.29,4.66,2.91,2.62,4.66,2.91,2.62,9.34,4.9,2.81,9.34,4.9,2.81
2.10.0,3,0:03:00,60,34.61,35.09,35.21,34.8,34.49,35.79,34.33,34.32,34.89,34.33,34.32,34.89,34.24,34.1,34.57,34.24,34.1,34.57,36.96,36.56,36.76,36.81,36.95,36.03,35.57,35.19,36.03,35.57,35.19,36.37,36.03,34.87,36.37,36.03,34.87,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01015,280.2,81.73,6.85,5.59,1.5,7.09,8.35,11.28,4.64,2.95,2.68,4.64,2.95,2.68,9.27,4.88,2.85,9.27,4.88,2.85
2.10.0,4,0:04:00,60,34.61,35.1,35.22,34.8,34.43,35.78,34.33,34.38,34.97,34.33,34.38,34.97,34.21,34.1,34.63,34.21,34.1,34.63,36.95,36.55,36.76,36.8,36.95,36.03,35.58,35.28,36.03,35.58,35.28,36.37,36.03,34.94,36.37,36.03,34.94,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01015,280.2,81.79,6.85,5.6,1.5,7.09,8.28,11.27,4.63,2.98,2.71,4.63,2.98,2.71,9.22,4.87,2.88,9.22,4.87,2.88
2.10.0,5,0:05:00,60,34.62,35.11,35.23,34.8,34.38,35.78,34.34,34.43,35.04,34.34,34.43,35.04,34.19,34.1,34.69,34.19,34.1,34.69,36.94,36.55,36.75,36.8,36.94,36.02,35.58,35.35,36.02,35.58,35.35,36.36,36.02,35.0,36.36,36.02,35.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01015,280.2,81.84,6.86,5.61,1.5,7.09,8.21,11.27,4.63,3.0,2.74,4.63,3.0,2.74,9.19,4.87,2.9,9.19,4.87,2.9
2.10.0,6,0:06:00,60,34.62,35.11,35.23,34.8,34.34,35.77,34.34,34.46,35.09,34.34,34.46,35.09,34.17,34.1,34.73,34.17,34.1,34.73,36.93,36.54,36.74,36.79,36.94,36.02,35.59,35.4,36.02,35.59,35.4,36.36,36.02,35.05,36.36,36.02,35.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01016,280.2,81.89,6.86,5.62,1.5,7.09,8.16,11.26,4.64,3.02,2.77,4.64,3.02,2.77,9.15,4.87,2.93,9.15,4.87,2.93
2.10.0,7,0:07:00,60,34.62,35.12,35.23,34.8,34.3,35.77,34.35,34.49,35.13,34.35,34.49,35.13,34.15,34.1,34.77,34.15,34.1,34.77,36.93,36.53,36.73,36.78,36.93,36.02,35.6,35.45,36.02,35.6,35.45,36.35,36.01,35.09,36.35,36.01,35.09,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01016,280.2,81.93,6.87,5.62,1.5,7.09,8.11,11.25,4.64,3.03,2.78,4.64,3.03,2.78,9.13,4.87,2.94,9.13,4.87,2.94
2.10.0,8,0:08:00,60,34.62,35.12,35.23,34.8,34.27,35.76,34.36,34.52,35.16,34.36,34.52,35.16,34.14,34.11,34.8,34.14,34.11,34.8,36.92,36.53,36.73,36.78,36.93,36.02,35.61,35.49,36.02,35.61,35.49,36.35,36.01,35.13,36.35,36.01,35.13,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01016,280.3,81.97,6.87,5.62,1.5,7.09,8.07,11.25,4.65,3.05,2.8,4.65,3.05,2.8,9.11,4.87,2.96,9.11,4.87,2.96
