clothing_ensemble,whole_body,head,neck,chest,back,pelvis,left_shoulder,left_arm,left_hand,right_shoulder,right_arm,right_hand,left_thigh,left_leg,left_foot,right_thigh,right_leg,right_foot
nude (mesh chair),0.01,0.13,0.13,0.01,0.01,0.04,0.02,0,0.01,0.02,0,0.01,0.01,0.03,0.05,0.01,0.03,0.05
nude (nude chair),-0.02,0.13,0.13,0.05,-0.14,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.02,-0.1,0,0,-0.1,0,0
panty,0.03,0,0,0,0,0.24,0,0,0,0,0,0,0.05,0,0.05,0.05,0,0.05
bra+panty,0.05,0,0,0.22,0,0.18,0,0,0,0,0,0,0.03,0.03,0.08,0.03,0.03,0.08
"bra+panty, tanktop, shorts, sandals",0.22,0,0,0.57,0.27,0.92,0.04,0.02,0.02,0.04,0.02,0.02,0.51,0.01,0.38,0.51,0.01,0.38
"bra+panty, long-sleeve shirt, shorts, sandals",0.43,0,0,1.43,1.02,1.45,0.29,0.22,0.01,0.29,0.22,0.01,0.57,0.01,0.4,0.57,0.01,0.4
"bra+panty, sleeveless dress, sandals",0.29,0,0,0.85,0.48,0.94,0,0,0,0,0,0,0.72,0,0.41,0.72,0,0.41
"bra+panty, T-shirt, long pants, socks, sneakers",0.52,0,0,1.14,0.84,1.04,0.42,0,0,0.42,0,0,0.58,0.62,0.82,0.58,0.62,0.82
"bra+panty, sleeveless dress, cardigan, sandals",0.53,0,0,1.78,1.42,1.19,0.65,0.41,0.05,0.65,0.41,0.05,0.77,0,0.39,0.77,0,0.39
"bra+panty, song-sleeve dress, socks, sneakers",0.54,0,0,1.49,1.1,0.91,0.72,0.58,0.03,0.72,0.58,0.03,0.73,0.07,0.77,0.73,0.07,0.77
"bra+panty, long-sleeve dress, cardigan, socks, sneakers",0.67,0,0,2.05,1.32,1.39,1.14,0.63,0.04,1.14,0.63,0.04,0.84,0.05,0.78,0.84,0.05,0.78
"bra+panty, tank top, skirt, sandals",0.31,0,0,0.83,0.22,0.99,0,0,0.03,0,0,0.03,0.88,0.05,0.44,0.88,0.05,0.44
"bra+panty, long sleeve shirts, skirt, sandals",0.52,0,0,1.62,0.99,1.41,0.31,0.28,0.03,0.31,0.28,0.03,0.82,0.04,0.41,0.82,0.04,0.41
"bra+panty, dress shirts, skirt, stocking, formal shoes",0.62,0,0,1.58,0.99,1.31,0.91,0.64,0.04,0.91,0.64,0.04,0.87,0.05,0.81,0.87,0.05,0.81
"bra+panty, dress shirts, skirt, leggings, sandals",0.65,0.13,0.13,1.59,1.04,1.36,0.91,0.67,0.07,0.91,0.67,0.07,1.26,0.12,0.43,1.26,0.12,0.43
"bra+panty, thin dress shirts, long pants, socks, sneakers",0.69,0.1,0.1,1.33,0.93,1.39,0.79,0.66,0.13,0.79,0.66,0.13,0.6,0.57,0.76,0.6,0.57,0.76
"bra+panty, long sleeve shirts, long pants, socks, sneakers",0.8,0,0,2.47,1.48,1.58,0.98,0.58,0.04,0.98,0.58,0.04,0.69,0.65,0.89,0.69,0.65,0.89
