t,rh,pmv,pmv_bin,pmv_bin_value
10.0,0,-4.66,Very Cold,0
10.0,1,-4.66,Very Cold,0
10.0,2,-4.66,Very Cold,0
10.0,3,-4.65,Very Cold,0
10.0,4,-4.65,Very Cold,0
10.0,5,-4.65,Very Cold,0
10.0,6,-4.65,Very Cold,0
10.0,7,-4.64,Very Cold,0
10.0,8,-4.64,Very Cold,0
10.0,9,-4.64,Very Cold,0
10.0,10,-4.63,Very Cold,0
10.0,11,-4.63,Very Cold,0
10.0,12,-4.63,Very Cold,0
10.0,13,-4.63,Very Cold,0
10.0,14,-4.62,Very Cold,0
10.0,15,-4.62,Very Cold,0
10.0,16,-4.62,Very Cold,0
10.0,17,-4.62,Very Cold,0
10.0,18,-4.61,Very Cold,0
10.0,19,-4.61,Very Cold,0
10.0,20,-4.61,Very Cold,0
10.0,21,-4.6,Very Cold,0
10.0,22,-4.6,Very Cold,0
10.0,23,-4.6,Very Cold,0
10.0,24,-4.6,Very Cold,0
10.0,25,-4.59,Very Cold,0
10.0,26,-4.59,Very Cold,0
10.0,27,-4.59,Very Cold,0
10.0,28,-4.59,Very Cold,0
10.0,29,-4.58,Very Cold,0
10.0,30,-4.58,Very Cold,0
10.0,31,-4.58,Very Cold,0
10.0,32,-4.57,Very Cold,0
10.0,33,-4.57,Very Cold,0
10.0,34,-4.57,Very Cold,0
10.0,35,-4.57,Very Cold,0
10.0,36,-4.56,Very Cold,0
10.0,37,-4.56,Very Cold,0
10.0,38,-4.56,Very Cold,0
10.0,39,-4.56,Very Cold,0
10.0,40,-4.55,Very Cold,0
10.0,41,-4.55,Very Cold,0
10.0,42,-4.55,Very Cold,0
10.0,43,-4.54,Very Cold,0
10.0,44,-4.54,Very Cold,0
10.0,45,-4.54,Very Cold,0
10.0,46,-4.54,Very Cold,0
10.0,47,-4.53,Very Cold,0
10.0,48,-4.53,Very Cold,0
10.0,49,-4.53,Very Cold,0
10.0,50,-4.53,Very Cold,0
10.0,51,-4.52,Very Cold,0
10.0,52,-4.52,Very Cold,0
